ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Цена
315969912,2,Квартира,м. Бунинская аллея (7 мин пешком),"Москва, улица Адмирала Лазарева, 72, ш. Калужское (10 км до МКАД), ш. Варшавское (8 км до МКАД)",60.0/35.0/12.0,6/7,"65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315975701,2,Квартира,м. Павелецкая (23 мин пешком),"Москва, Дербеневская набережная, 13/17К3",45.0/17.0/20.0,7/9,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315098776,2,Квартира,м. Проспект Мира (8 мин пешком),"Москва, Большая Переяславская улица, 3К2",50.0/32.0/9.0,3/12,"73000.0 руб./ За месяц, Залог - 73000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316600948,"2, Изолированная",Квартира,м. Тушинская (16 мин пешком),"Москва, улица Мещерякова, 4К2",58.5/34.0/10.0,2/5,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316673571,"2, Изолированная",Квартира,м. Кропоткинская (8 мин пешком),"Москва, Гагаринский переулок, 21",50.2/34.0/6.0,"2/13, Кирпичный","80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - На несколько месяцев, Предоплата 1 мес"
315689848,3,Квартира,м. Беломорская (17 мин на машине),"Москва, Ленинградское шоссе, 229Ак2, ш. Ленинградское (9 км до МКАД), ш. Пятницкое (17 км до МКАД)",58.2/15.0,5/13,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316691155,"2, Изолированная",Квартира,м. Новаторская (13 мин пешком),"Москва, Ленинский проспект, 87",53.0/37.0/8.0,4/8,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
314629114,"2, Изолированная",Квартира,м. Водный стадион (6 мин пешком),"Москва, Кронштадтский бульвар, 6к5",48.0/30.0/10.0,"10/27, Монолитный","90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315319296,"2, Изолированная",Квартира,м. Таганская (12 мин пешком),"Москва, Николоямский переулок, 3АК3",49.0/25.0/9.0,"9/14, Блочный","95000.0 руб./ За месяц, Залог - 95000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316697559,"2, Изолированная",Квартира,м. Орехово (19 мин пешком),"Москва, улица Маршала Захарова, 3",54.0/27.0/17.0,6/22,"95000.0 руб./ За месяц, Залог - 95000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316130485,2,Квартира,м. Филёвский парк (13 мин пешком),"Москва, 2-я Филевская улица, 6",50.0/30.0/10.0,7/22,"99000.0 руб./ За месяц, Залог - 109000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316378011,2,Квартира,м. Кутузовская (3 мин пешком),"Москва, Кутузовский проспект, 30",57.0/6.0,"5/12, Кирпичный","100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
314946091,2,Квартира,м. Кропоткинская (2 мин пешком),"Москва, Гоголевский бульвар, 8",33.0,4/8,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316041299,2,Квартира,м. Бутово (7 мин пешком),"Москва, 1-я Мелитопольская улица, 8, ш. Калужское (14 км до МКАД), ш. Варшавское (4 км до МКАД)",47.0/33.0/7.0,7/9,"45000.0 руб./ За месяц, Залог - 45000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315694845,2,Квартира,м. Улица Академика Янгеля (4 мин пешком),"Москва, Кировоградская улица, 44К1",47.0/31.0/7.0,"3/12, Панельный","53000.0 руб./ За месяц, Залог - 53000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316674199,2,Квартира,м. Бульвар Рокоссовского (21 мин пешком),"Москва, Тагильская улица, 4В",40.0/20.0/12.0,"3/21, Монолитный","57000.0 руб./ За месяц, Залог - 57000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315052834,2,Квартира,м. Жулебино (7 мин пешком),"Москва, улица Маршала Полубоярова, 24к2, ш. Новорязанское (3 км до МКАД), ш. Новоегорьевское (5 км до МКАД)",54.0/28.0/8.0,"9/12, Панельный","59000.0 руб./ За месяц, Залог - 59000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316651763,"2, Изолированная",Квартира,м. Строгино (15 мин пешком),"Москва, улица Маршала Катукова, 17К2",45.0/28.0/6.0,"8/9, Панельный","60000.0 руб./ За месяц, Залог - 60000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316138902,2,Квартира,м. Царицыно (9 мин на машине),"Москва, Ягодная улица, 4",54.8/30.0/9.5,"10/24, Монолитный","60000.0 руб./ За месяц, Залог - 60000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
285621232,2,Квартира,м. Потапово (9 мин пешком),"Москва, Скандинавия ЖК, улица Эдварда Грига, 15, ш. Калужское (8 км до МКАД), ш. Варшавское (8 км до МКАД)",43.2/17.0/19.0,"7/17, Монолитный","60000.0 руб./ За месяц, Залог - 60000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316664978,"2, Изолированная",Квартира,м. Юго-Западная (17 мин пешком),"Москва, улица Академика Анохина, 42К1",55.0/32.0/12.0,"2/16, Панельный","65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315353921,2,Квартира,м. Рассказовка (8 мин на машине),"Москва, Московский г., 3-й мкр, 18, ш. Киевское (10 км до МКАД), ш. Боровское (14 км до МКАД)",80.0/13.0,"11/23, Монолитный","65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
269241368,2,Квартира,м. Марьина Роща (7 мин пешком),"Москва, улица 4-я Марьиной рощи, 8",46.0/31.0/7.0,3/5,"65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
307576851,2,Квартира,м. Потапово (9 мин пешком),"Москва, Сосенское поселение, проспект Куприна, 18к2, ш. Калужское (8 км до МКАД), ш. Варшавское (12 км до МКАД)",32.0/20.0/7.0,15/17,"65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316326254,2,Квартира,м. Отрадное (13 мин пешком),"Москва, улица Бестужевых, 3А",46.0/30.0/7.0,7/9,"65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
305642182,"2, Изолированная",Квартира,м. Университет (13 мин пешком),"Москва, Молодежная улица, 4",52.0/32.0/8.5,"2/8, Кирпичный","65000.0 руб./ За месяц, Залог - 15000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316633274,2,Квартира,м. Потапово (5 мин пешком),"Москва, Сосенское поселение, улица Александры Монаховой, 83, ш. Калужское (7 км до МКАД), ш. Варшавское (10 км до МКАД)",35.0/10.0,17/17,"65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
313195765,2,Квартира,м. Потапово (11 мин пешком),"Москва, Сосенское поселение, проспект Куприна, 1к2, ш. Калужское (7 км до МКАД), ш. Варшавское (8 км до МКАД)",36.0,11/16,"65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316700027,2,Квартира,м. ВДНХ (5 мин пешком),"Москва, Ракетный бульвар, 7",45.0/30.0/6.0,3/8,"68000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
314827176,2,Квартира,м. Рассказовка (11 мин пешком),"Москва, Внуковское поселение, улица Анны Ахматовой, 22, ш. Боровское (9 км до МКАД), ш. Киевское (11 км до МКАД)",63.0/23.0/10.0,18/20,"69000.0 руб./ За месяц, Залог - 69000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316188651,2,Квартира,м. Крёкшино (10 мин на машине),"Москва, д. Ивановское, улица Семена Гордого, 12, ш. Киевское (23 км до МКАД), ш. Боровское (25 км до МКАД)",72.2/37.2/11.5,"9/11, Монолитный","69000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316613396,2,Квартира,м. Бунинская аллея (8 мин пешком),"Москва, улица Академика Семенова, 11К1, ш. Калужское (10 км до МКАД), ш. Варшавское (7 км до МКАД)",60.0/35.0/12.0,"9/12, Монолитный","70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316599250,"2, Оба варианта",Квартира,м. Румянцево (15 мин пешком),"Москва, № 2 кв-л, 5с5, ш. Киевское (1 км до МКАД), ш. Сколковское (10 км до МКАД)",38.0/27.0/6.0,7/15,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316661346,"2, Оба варианта",Квартира,м. Красногвардейская (6 мин пешком),"Москва, Ореховый бульвар, 24к3",45.0/30.0/8.0,8/30,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
159180223,2,Квартира,м. Молодёжная (8 мин пешком),"Москва, Ельнинская улица, 5",52.0/32.0/8.0,"2/14, Кирпичный","70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
280041632,"2, Оба варианта",Квартира,м. Братиславская (22 мин пешком),"Москва, Люблинская улица, 76к2",40.0/28.0/10.0,"6/16, Монолитный","70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
298955449,2,Квартира,м. Пятницкое шоссе (9 мин пешком),"Москва, Пятницкое шоссе, 36К1, ш. Пятницкое (4 км до МКАД), ш. Волоколамское (10 км до МКАД)",60.0/38.0/12.0,"15/16, Панельный","70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316644923,"2, Оба варианта",Квартира,м. Домодедовская (12 мин пешком),"Москва, Каширское шоссе, 65К1",45.0/30.0/8.0,3/11,"75000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316404288,2,Квартира,м. Коптево (15 мин пешком),"Москва, Онежская улица, 15Б",50.0/30.0/10.0,8/9,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316642440,"2, Оба варианта",Квартира,м. Красный Строитель (10 мин пешком),"Москва, Дорожная улица, 46к2",40.0/28.0/8.0,3/22,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316504751,2,Квартира,м. Тульская (12 мин пешком),"Москва, Духовской переулок, 10",56.0/42.0/12.0,4/16,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315833931,2,Квартира,м. Румянцево (13 мин пешком),"Москва, д. Румянцево, улица Садовая, 62, ш. Киевское (4 км до МКАД), ш. Боровское (7 км до МКАД)",55.0/25.0/18.0,2/2,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316211803,2,Квартира,м. Савёловская (15 мин пешком),"Москва, улица 2-я Бебеля, 26",44.0/5.5,"5/5, Блочный","75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
287260616,2,Квартира,м. Рабочий посёлок (4 мин пешком),"Москва, улица Гришина, 20",50.0/40.0/8.0,"6/12, Кирпичный","75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316391642,2,Квартира,м. Измайловская (8 мин пешком),"Москва, 6-я Парковая улица, 7",50.4/8.5,"3/14, Блочный","78000.0 руб./ За месяц, Залог - 78000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
313820307,3,Квартира,м. Планерная (16 мин пешком),"Москва, улица Вилиса Лациса, 27К3",61.4/45.0/5.0,16/16,"79000.0 руб./ За месяц, Залог - 40000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316321707,2,Квартира,м. Проспект Вернадского (12 мин пешком),"Москва, улица Коштоянца, 1/83",40.0/20.0/6.0,"9/12, Блочный","80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
307633854,2,Квартира,м. Студенческая (10 мин пешком),"Москва, Кутузовский проспект, 23К2",45.0,"5/5, Кирпичный","80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316662207,"2, Оба варианта",Квартира,м. Озёрная (11 мин пешком),"Москва, улица Малая Очаковская, 4Ак2",38.0/25.0/8.0,12/33,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316661840,"2, Оба варианта",Квартира,м. Нижегородская (9 мин пешком),"Москва, Газгольдерная улица, 10",45.0,12/25,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
312049602,2,Квартира,м. Кантемировская (22 мин пешком),"Москва, Кавказский бульвар, 51к2",38.0/15.0,30/33,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315933262,2,Квартира,м. Водный стадион (10 мин пешком),"Москва, Кронштадтский бульвар, 8к2",33.0/20.0/10.0,19/33,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315989950,2,Квартира,м. Аминьевская (12 мин пешком),"Москва, Очаковское шоссе, 5к6",40.0/27.0/10.0,8/33,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
270321339,"2, Изолированная",Квартира,м. Профсоюзная (15 мин пешком),"Москва, Нахимовский проспект, 33/2",53.0/32.0/10.0,"10/17, Панельный","80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
300657360,2,Квартира,м. Алтуфьево (11 мин пешком),"Москва, Новгородская улица, 5",61.0/33.0/12.0,"5/17, Монолитный","80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315637550,2,Квартира,м. Озёрная (11 мин пешком),"Москва, улица Малая Очаковская, 4Ак2",33.0,20/33,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315859798,2,Квартира,м. Домодедовская (15 мин пешком),"Москва, Ясеневая улица, 12к1",58.0/25.0/20.0,4/25,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316584717,2,Квартира,м. Тропарёво (8 мин пешком),"Москва, Ленинский проспект, 123",54.7/18.0,"16/29, Монолитный","80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
304631280,2,Квартира,м. Строгино (12 мин на машине),"Москва, № 100 кв-л, 1к3, ш. Новорижское (2 км до МКАД), ш. Волоколамское (13 км до МКАД)",37.0,11/25,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315264936,3,Квартира,м. Владыкино (14 мин пешком),"Москва, Сигнальный проезд, 16",51.8,24/33,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316704335,"2, Изолированная",Квартира,м. Новопеределкино (4 мин пешком),"Москва, Чоботовская улица, 2к1, ш. Боровское (6 км до МКАД), ш. Киевское (8 км до МКАД)",56.0/30.0/12.0,"13/24, Монолитный","83000.0 руб./ За месяц, Залог - 83000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316087974,2,Квартира,м. Крылатское (14 мин пешком),"Москва, улица Крылатские Холмы, 30К3",54.0/35.0/10.0,"7/17, Панельный","84000.0 руб./ За месяц, Залог - 45000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316676216,"2, Изолированная",Квартира,м. Аминьевская (6 мин пешком),"Москва, Очаковское шоссе, 5к2",37.2/20.0/11.0,29/33,"84900.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - На несколько месяцев, Предоплата 1 мес"
316608302,"2, Изолированная",Квартира,м. Яхромская (11 мин пешком),"Москва, улица 800-летия Москвы, 4К1",55.0/33.0/10.0,11/17,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316134144,2,Квартира,м. Дмитровская (12 мин пешком),"Москва, Новодмитровская улица, 2к5",60.0/40.0/10.0,4/47,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316287818,2,Квартира,м. Водный стадион (7 мин пешком),"Москва, улица Адмирала Макарова, 6А",42.0/24.0/12.0,17/30,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316627787,2,Квартира,м. Окская (8 мин пешком),"Москва, улица Михайлова, 30Ак6",50.0/32.0/10.0,11/17,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
